BenchmarkSnapshot/32_x_131_kB-10     	       1	   9937875 ns/op	   4222534 bytes	       100.0 calls	72395216 B/op	   26866 allocs/op
BenchmarkSnapshot/48_x_131_kB-10     	       1	  14410458 ns/op	   6333552 bytes	       148.0 calls	106855608 B/op	   37924 allocs/op
BenchmarkSnapshot/48_x_131_kB-10     	       1	  13407250 ns/op	   6333544 bytes	       148.0 calls	106578384 B/op	   37072 allocs/op
BenchmarkSnapshot/48_x_131_kB-10     	       1	  14026417 ns/op	   6333564 bytes	       148.0 calls	106403664 B/op	   37449 allocs/op
BenchmarkSnapshot/48_x_131_kB-10     	       1	  12798417 ns/op	   6333544 bytes	       148.0 calls	106377696 B/op	   37428 allocs/op
BenchmarkSnapshot/48_x_131_kB-10     	       1	  13633875 ns/op	   6333544 bytes	       148.0 calls	106350400 B/op	   37646 allocs/op
BenchmarkSnapshot/48_x_131_kB-10     	       1	  12494417 ns/op	   6333548 bytes	       148.0 calls	106820928 B/op	   37507 allocs/op
BenchmarkSnapshot/64_x_131_kB-10     	       1	  17533375 ns/op	   8444548 bytes	       196.0 calls	141511488 B/op	   47898 allocs/op
BenchmarkSnapshot/64_x_131_kB-10     	       1	  17701583 ns/op	   8444576 bytes	       196.0 calls	141519952 B/op	   48278 allocs/op
BenchmarkSnapshot/64_x_131_kB-10     	       1	  17489833 ns/op	   8444556 bytes	       196.0 calls	141521040 B/op	   48194 allocs/op
BenchmarkSnapshot/64_x_131_kB-10     	       1	  16969125 ns/op	   8444560 bytes	       196.0 calls	141509488 B/op	   48639 allocs/op
BenchmarkSnapshot/64_x_131_kB-10     	       1	  17122250 ns/op	   8444576 bytes	       196.0 calls	141780736 B/op	   48114 allocs/op
BenchmarkSnapshot/64_x_131_kB-10     	       1	  16257833 ns/op	   8444536 bytes	       196.0 calls	141798280 B/op	   48243 allocs/op
BenchmarkSnapshot/1_x_524_kB-10      	       1	   3945292 ns/op	    525836 bytes	         7.000 calls	 9778976 B/op	    5584 allocs/op
BenchmarkSnapshot/1_x_524_kB-10      	       1	   3882125 ns/op	    525840 bytes	         7.000 calls	 9901480 B/op	    5628 allocs/op
BenchmarkSnapshot/1_x_524_kB-10      	       1	   3619042 ns/op	    525840 bytes	         7.000 calls	 9850760 B/op	    5629 allocs/op
BenchmarkSnapshot/1_x_524_kB-10      	       1	   4317500 ns/op	    525840 bytes	         7.000 calls	 9799352 B/op	    5593 allocs/op
BenchmarkSnapshot/1_x_524_kB-10      	       1	   3950917 ns/op	    525840 bytes	         7.000 calls	 9229072 B/op	    5578 allocs/op
BenchmarkSnapshot/1_x_524_kB-10      	       1	   4045542 ns/op	    525840 bytes	         7.000 calls	 9796480 B/op	    5615 allocs/op
BenchmarkSnapshot/2_x_524_kB-10      	       1	   4954166 ns/op	   1050979 bytes	        10.00 calls	18885536 B/op	    6386 allocs/op
BenchmarkSnapshot/2_x_524_kB-10      	       1	   4671750 ns/op	   1050979 bytes	        10.00 calls	18788936 B/op	    6411 allocs/op
